,comment,title,date
10,원래 인터넷은 kt였는데 요샌 진짜 이상하네여...,피X) 혹시 kt 사용중인데 안터지는 사람?,2023-12-21 10:50
11,예전부터 인터넷문제잇던데 왜안바꾸지 건물이 kt밖에못쓰나??,만식이방 억까지리네,2023-12-19 20:39
12,인터넷은 무조건 KT 라고 생각함,인터넷 kt에서 옮기려는데,2023-12-18 18:21
13,"5.21. 인터넷 방송인 성훈에게 유튜브 채널 테러 및 비난5.22. 2022년 클템, 김동준 해설 페이커 패싱 선동 사건5.23. SKT 마이너 갤러리 성명문 작성 및 2차 트럭 시위 사건5.24. T1악성팬 담원 기아 간담회 참석 인증 사건5.25. DRX 우승 폄하 사건5.26. 임재현 코치 과거사 왜곡 사건5.27. KT 프로게임단 마이너 갤러리 여론 조작 논란 5.28. T1 팬덤 및 단장의 ...",현재 케리아 초대석 예고에서 말실수 했다고 논란중인 침착맨,2023-12-18 14:21
14,Kt개잡놈들은 이럴때도 도움이안됨.. 인터넷도 개같이 느리고,다들 유튜브뮤직 계속 쓰실건가요??,2023-12-18 10:01
15,ㅁ?ㄹ kt 인터넷 쓰다가 데였나?,그 호감고닉 능지 딸려서 계속 걸리는게 웃김,2023-12-18 00:24
16,"아니면 반대로 인터넷선을 본인방으로 연장하시고 거기 공유기두시고 거실에 증폭기 두는게 더나을거같아요. 제가 완전 시골 본가에서 독립하기전에 지낼때 정확하게 같은상황이였는데 방으로 연장은 도저히 불가능한상황이라 ( 인터넷선자체가 아예 안들어와서, 아랫마을 500미터에서 kt공사팀이 직접 선따서 저희집 연결한터라..) 거실에서 방으로 랜선 직접시공햇엇습니다.ㅋㅋ",형들 여기다가 pcie 랜카드 꽂을수 있을까?,2023-12-17 03:49
17,"나도 알뜰폰인데 집에 케이블 티비,인터넷이 KT 그래서 쌓인 포인트로 매달 저거 이용",[KT 멤버십,2023-12-16 14:09
18,현질한거아깝고 피파때매 고민이라 인터넷을 고민을 하면 뒤도 안돌아보고 일단 KT는 써봐야함 체험해봐야함 그냥 30초만 검색해도 다 KT추천함 그냥 외국게임하면 KT맛 보고 이제 또 맘에 안들면 다른거고민하면됨,헬지쓰고있는데 도저히 현질한것도 아깝고 열받아서 통신사 바꾸려하는데요,2023-12-15 17:59
19,무조건 kt요 인터넷 찾아보면 위약금 현금 입금 해주는데 많아요,헬지쓰고있는데 도저히 현질한것도 아깝고 열받아서 통신사 바꾸려하는데요,2023-12-15 17:59
20,KT에 유일하게 단기임대 인터넷 있어요 저도 3개우ㅏㄹ 필요해서 했었어요,3개월 단기임대  인터넷 개통,2023-12-12 08:05
21,"인터넷 + 티비 + 알뜰폰 하는거랑 다 하나로 묶는거 계산해보면 전자가 싼 경우가 많음 우리집도 다 kt 썼는데, 폰만 알뜰로 갈아타고 인터넷 + 티비만 결합으로 쓰는중",알뜰폰 갤러리 근황 ㅋㅋㅋ,2023-12-12 01:52
22,알뜰폰도 결합 됨 Kt엠모바일이랑 kt인터넷 이런식으로 어차피 kt엠모바일이 kt꺼임ㅋ,알뜰폰 갤러리 근황 ㅋㅋㅋ,2023-12-12 01:52
23,"아 그 핸드폰 인터넷말고, 말 그대로 랜선으로 쓰는 인터넷 친구가 알뜰폰 쓰면서 무슨 듣보잡 인터넷인 CMB?.. 거기서 했는데, 발로 할때마다 한번씩 팅긴다면서 으어어! 소리 지르면서 다시 KT로 왔음",알뜰폰 갤러리 근황 ㅋㅋㅋ,2023-12-12 01:49
24,"우리집 티비, 인터넷 3명 다 KT인데 5년밖에 안됐으면 알뜰폰이 쌈?",알뜰폰 갤러리 근황 ㅋㅋㅋ,2023-12-12 01:32
25,물론 서버 좋을때는 조금씩 차이가 나는거 같긴한데요 이게 회선도 회선인데 인터넷이 구축이냐 신축이냐에 따라 조금 다른거같아요 물론kt가 해외망이 있어서 제일 좋긴 합니다.,인터넷 SK 대칭이나 타사에서 넘어가신 형들,2023-12-12 00:15
26,kt 기가 인터넷 속도 안나오는거 공론화시킨 잇섭,근대 잇섭은 전자제품 리뷰하는 사람아니야?,2023-12-11 23:10
27,kt1기가 인터넷 그렇게 안비쌀텐데여 제가 1기가 26000원인가에 썼었는데 qos 500메가랑 같아서 결국 다시 500메가로 왓음,lg헬로비전 인터넷 거의 반값인데 바꿀까싶네요,2023-12-10 23:22
28,원래 사재로 샀었는데 아파트에서 kt 기가인터넷 무료로 바꿔준다해서 모든단지 바뀌었는데 kt 와이파이는 설치 안해주는거 같아서 물어봄,기가인터넷쓰면 기가와이파이로 바꿔야됨?,2023-12-10 22:54
29,인터넷 하면 KT라는 생각땜에 바꿀때 고민 많이했는데 LG는 좀 손이 안가서 SKT로 바꿨고 기사와서 모뎀 교체한 뒤에 일시불로 받음,인터넷 신규가입할려고하는데...,2023-12-10 22:45
30,퍼스에 견적받아봐 난 kt쓰다가 견적올렸는데 인터넷 티비 바꾸면 80만준대서 바꾸고 받음 컴터 판매사이트마냥 견적올리면 업체들이 얼마준다 이렇게 오퍼 오더라,인터넷 신규가입할려고하는데...,2023-12-10 22:36
31,kt lg 두곳 모두 공기업 시절 인터넷 망 세금으로 깐거고 지들돈으로 깐게 없는데 sk는 이 두곳에서 임차해서 쓰고. 빨아먹어도 적당히 빨아먹어야지,망 사용료 15배 구라로 밝혀져…jpg,2023-12-10 21:49
32,https://product.kt.com/wDic/productDetail.do?ItemCode=1535&amp;CateCode=6005&amp;filter_code=119&amp;option_code=&amp;pageSize=10 요기 보면 선불 인터넷이라고 3개월에 8.8 ~ 13.2 까지 있네요 약정 없이 단기로 쓰실거면 그나마 이게 제일 할만한듯 핸드폰 핫스팟 데이터는 따로라는건 처음 알았네요,인터넷 질문 드립니다. (2천포 보상),2023-12-09 17:44
33,지금 티비는 skt 인터넷 kt 가족 한명이 sk요금제 3명이 lg여서 좀 머리아픔 그래서 걍 복잡하게 계산말고 알뜰갈까 생각중이라,3사 할인혜택 잘안쓰는 집돌이면 닥 알뜰요금제?,2023-12-09 17:17
34,"핸드폰 무제한 이면 핫스팟, KT 선불단기인터넷 3,6,12 개월, 공유기 쓰는 집에 비용 조금 지불하고 탑승 정도 있겠네요",인터넷 질문 드립니다. (2천포 보상),2023-12-09 16:23
35,미국이 할말이 없다고 생각하기 힘든게... 유튜브가 KT 망에 있어서 SKT 쓰면서 유튜브 보면 KT 가 SKT 한테 망사용료 즉 돈을 줘야됨... 이거 자체가 ㅈㄴ 말이 안된다고 봄... 즉 지금은 망자체를 키우는것보단 사용자만 늘리면 한국에있는 다른 통신사에서 오는 정보는 그 통신사가 자기한테 돈을 줘야됨... 그런데 한국 자체는 2티어라 1티어 망들한테 돈을 냄... ...,방통위 “트위치 한국 철수해도 과징금 조사 계속할 것”,2023-12-09 14:26
36,ㅇㅈ LG랑 KT 기가 써봤는데 둘다 좋음 SK는 같이 일하는 옆자리 직원이 썼었는데 맨날 인터넷 문제 생김,기가 인터넷은 다 거기서 거기임?,2023-12-09 03:12
37,지역마다 인터넷이 좋은곳과 안좋은곳이 있다고 하는데 범용적으로 KT,기가 인터넷은 다 거기서 거기임?,2023-12-09 03:09
38,한국의 이통사들 마진율이 10%대를 넘었던 게 인터넷 초창기였던 2000년대 중반 해외에서 찾아본 kt 영업마진을 보니까 2011년까진 덩치가 작고 영업이익률이 지리게 좋았다가 2012년부터 공격적 M&amp;A로 덩치를 2배 3배 4배로 불린 뒤 영업이익률이 5%대로 떨어졌음 SKT와 LGU도 사정은 비슷함,정보) 최근 논란인 망사용료에 대해 알아보자 -스압주의-,2023-12-08 21:30
39,통신사가 개씹철밥통임 기업한테 저지랄하고 소비자한테 요금제로 장난치고 KT는 거기에더해서 인터넷속도도 지좆대로 조절하고 국가차원에서 IT 쳐망해라 나가뒤져라 고사지내는데 아직도 버텨지는게 신기한 나라,정보) 최근 논란인 망사용료에 대해 알아보자 -스압주의-,2023-12-08 20:50
40,"쉽게 말하면 KT,SK,LG 는 제 1기업인거고 알뜰요금제는 이 3사의 하청업체가 운영하는 통신망이라 생각하시면 되요. 인터넷에 알뜰요금제라고 치면 각종 알뜰요금제 통신사가 뜨거든요? 거기에 들어가서 상담 문의해서 가입하거나하면 유심칩을 당일발송으로 보내줍니다. 그럼 그거 끼우고 요금제 원하는거 상담해서 쓰시면 되요.",핸드폰 데이터 무제한 요금 얼마인가요?,2023-12-08 16:11
41,아 kt 인터넷 사용자는 안되냐ㅋㅋㅋ,발게이3 엑박판 살 사람 20% 세일 추가로 챙겨가라,2023-12-08 13:21
42,kt공유기 - ip공유기 연결할때 인터넷선만 있음 되죠 ?,미꾸라지 급한후기,2023-12-07 23:49
43,KT 인터넷 스바 개 끊겨.,통신 3사 현황,2023-12-07 16:01
44,1티어 인터넷 사업자 없지않음? kt가 그나마 2티어고ㅋㅋㅋ 타 통신사는 해저케이블 이제야 하나 완성 단계 아닌가,지금 한국은 절대 it강국 아님,2023-12-06 18:47
45,ㅋㅋㅋ 파워콤을 민영화 하고 KT민영화 한건 김대중과 노무현이다 김대중이 우리나라 인터넷 산업 민영화 한거 아직도 모르냐?,트코 섭종사태로 개소리로 판명난것,2023-12-06 18:15
46,데이터도 3사중 요즘 제일 안터지고 위성팔고 잇섭한테 고의 인터넷저하 걸리고 망사용료 대장격에다가 멤버십 혜택도 제일 적고 십새끼 KT롤스터 운영비나 깎아먹고,도대체 통신사가 뭘 그리 잘못했는데,2023-12-06 12:01
47,다른 나라도 인터넷 요금 이렇게 비쌈? KT 새끼들 너무 비싸게 쳐먹음,[오피셜,2023-12-06 11:35
48,인터넷은 KT임 ㅋ,KT라 인터넷 괜찮을 줄 알았는데 개판이였네,2023-12-06 10:24
49,확실한건 kt에서 다른인터넷으로 바꾸면 역체감은 됨,KT라 인터넷 괜찮을 줄 알았는데 개판이였네,2023-12-06 10:09
50,컴이랑 상관없이 KT 인터넷회선 주작질땜에 그리드 체감 느껴질때 있음,좆신사땜에 강제로 그리드깔게 생김ㅋㅋ,2023-12-06 10:01
51,kt사이트 들어가서 인터넷 리셋 한번 해보셔요 하는법은 네이버 검색,KT 인터넷 진짜 개 열받네,2023-12-05 22:43
52,KT는 인터넷만 써야함,[티플러스,2023-12-05 22:26
53,선생님들 혹시.. 아이폰11을 kt 요금제로 인터넷 + tv + 헨드폰 결합해서 쓰고 있는데 위 상품 알뜰폰 sk망으로 신청해도 개통이 될까요 ? 아님 저같은 경우에는 무조건 kt 망을 선택해야 하나요 ?,[티플러스,2023-12-05 21:37
54,"선생님 이거 개통한다음, 인터넷에서 신분인증할때 sk,lg.kt에서 고르는건가요? 아님 알뜰폰으로 골라야하는건가요??",[티플러스,2023-12-05 19:58
55,통신사는 sk 인터넷은 kt,진짜 전역하면 KT 무조건 탈퇴한다,2023-12-05 14:44
56,인터넷은 KT로 써야하나요? IPTIME 아무 공유기나 상관없나요? 벽에서 직접 꽂아서 PS5 연결했었는데 IPTIME 공유기 연결로 바꿔야하나요?,미꾸라지 적용하는 방법에 대한 설명,2023-12-05 00:34
57,와..전 kt인데 인터넷하고 결합해서 한달에 십만원정도 나오는데.... 통신사변경이나 이런 거 해도 별로일까요?,[쿠팡,2023-12-04 21:50
58,와이파이 집고 들어가도 인터넷에 연결되어있지 읺다고 니오네요 와이파이명은 kt giga 985f 5g 이런식으로 나오구요,플스유전데 자기 공우기가 미꾸라지 지원하는지 알수있는 방법있나요?,2023-12-04 19:38
59,인터넷은 kt 라는 말이 있었죠 근데 이새끼도 요즘 별로임 근데 딴새끼들이 더 별로라는듯 ㅋㅋ,피파x)) 인터넷 바꿈,2023-12-04 15:05
60,고시원인터넷이라 걍 여러개 안하고 한개에다 공유기 꼽아놔서 그런가봐... kt이긴한데 자세한건 모름,스팀 다운 속도 평균이 어느 정도임??,2023-12-04 01:54
61,인터넷이랑 티비 묶인거 ㅋㅋ kt씀,자취하면 나가는 비용.,2023-12-03 21:48
62,심지어 인터넷 KT 기가인터넷이더라...,자취하면 나가는 비용.,2023-12-03 20:56
63,북미게임이면 핑이 중요한데 그럼 kt가 해외망은 제일 좋은걸로 알고 있음 전 skt 인터넷 쓰다가 게임할때 핑 튀는것때메 재약정 안하고 이젠 kt정착해서 사용중인데 500m인데 속도 잘 나오고 인터넷 품질 좋음. 단 하나 단점이 하루 150기가 이상 다운받으면 그날은 100m로 속도 제한걸림 자정에 다시 풀리고 반복 근데 skt 인터넷은 다운제한 걸어둔게 없는걸로 알고있음,형님들 인터넷 질문이 있슴다,2023-12-03 15:19
64,사람 바이 사람인거 같음 kt 500m iptv 3년 약정인데 계약할때 인터넷만 할 수 있었음에도 난 주말에는 꼭 티비한번을 틀기에 무조건 iptv는 필수였음. 하지만 평일에는 일하고오면 볼 시간이 없어서 tv 전혀안킴. 크롬캐스트3 있어서 넷플 쿠플 티빙 아프리카등 다 연결해서 볼 수 있긴한데 요즘 통신사 iptv 셋업은 자체 기능으로 ott 보는게 가능한것도 이점이 있음.,TV해지에 대해 어떻게 생각함,2023-12-03 02:42
65,"가족이 많으면 iptv 도 볼만한데, 혼자 살거나 그러면, 굳이 찾아보는 사람 아니면 쓸모 없다는 경우가 있는 듯... 인터넷은 진짜 싼게 비지떡임. 저렴하다고 케이블 인터넷 잠깐 써봤다가, 학을 떼고 다시 kt 사용...",TV해지에 대해 어떻게 생각함,2023-12-03 01:59
66,정보가 부족해서 인터넷이 문제인지 랜카드가 문제인지 OS가 문제인지 어느단에 문제가 있는지 정확히 알 수가 없으니 그냥 KT에 전화해서 속도가 안나와요 하면 출장올겁니다 회선의 문제가 아니라면 출장비 달라고 할 수도 있구용,kt 인터넷 이더넷 이슈,2023-12-02 21:30
67,갑자기 통신3사가 개처럼 두둘겨 맞으면 또 모르지 요즘 공중파 뉴스에 kt 인터넷 장애 연일 패던데,1080은 평생 안돌아오겠지,2023-12-02 02:12
68,ㅋㅋㅋ 야구보시는군요... 통신사랑 인터넷이 KT긴 합니다...,왜이리 발로란트 혼자하면 재미없지,2023-12-01 19:22
69,나 예전에 인터넷 속도 느린거 같아서 KT통신기사 불렀는데 그아저씨도 네이버에 인터넷 속도측정 검색하고 있더라 크롬켜드렸더니 크롬검색에 네이버 치고 네이버 들어가서 검색함 좀 놀랬음 ㅋㅋㅋ 생각보다 네이버 많이써..,오늘도 고말숙 인스타에 박제된 펨붕이들..,2023-12-01 15:46
70,인터넷은 kt 스마트폰은 skt 가전제품은 lg얘기가,힙x)요즘 와이파이 뭐 씀,2023-11-30 19:15
71,본가할때 인터넷관련글 엄청봤는데 kt가 최고라더라구여ㅋㅋㅋ,요즘 피시방들 인터넷 구린 곳 엄청 많은듯,2023-11-30 18:13
72,kt 인터넷이랑 핸드폰 5G 쓰는데 겁나 끊기고 skt 갈아탈까 생각중...,와 kt lte 속도 이거 유명한거였구나,2023-11-30 14:08
73,인터넷 kt 쓰긴하는데 결합해야하나..?,이 문자 왔으면 이제 ㅈ까고 알뜰로 가면 되는거지?,2023-11-29 17:49
74,집에 인터넷망도 kt인데 이거 갈아타면 불이익 있는지 먼저 확인해봐야겠네요......,질문)) 자급제폰으로 사도 5G요금제 써야하나요??,2023-11-29 15:25
75,kt 인터넷에 티빙 무료 혜택있는 거 쓰고 있었는데 합쳐지면 이거 사라지나,[단독,2023-11-29 14:23
76,kt도 묶음 있지않음? 핸드폰이 가족들 전부 kt면 그쪽에 현금받고 묶는게 좋지 근데 혜택이 얼만지 몰라서 sk랑 비교는 못하겠음 sk는 인터넷쪽 기본 요금도 kt보다 싼데 3명 묶으면 15000원 추가할인에 기본요금도 할인해달라고 딜해서 더 싸게할수있으니 좋긴한데 kt쪽은 할인이 얼마나 들어가는지 몰라서 비교가안됨,앞x) sk인터넷 약정 끝났는데 괜찮은곳있음?,2023-11-29 13:19
77,"결합하면 혜택이 있잖아. 할인되고 멤버십 유지에도 유리하고, 그리고 인터넷 통신사 변경해서 받는 사은품들도 들어갈때는 괜찮긴한데 장기적으로 봤을때는 별로일수도 있고, sk로 약정 또 걸면 사은품 또 주지 않음? kt는 약정 끝나고 다시 걸때 입 잘털면 풀로 땡겨 받을 수 있음.",앞x) sk인터넷 약정 끝났는데 괜찮은곳있음?,2023-11-29 13:16
78,알뜰폰 요금제가 나올 수 있는게 서비스사업자 민영화화되고 경쟁하게 만든 덕분인데..? 민영화안되고 한전처럼 운영한다면 알뜰폰 사업자도 없고 전국민이 다 KT쓰고 있있을거. 한국통신공사 시절 공급독점할 땐 인터넷 종량제였어서 PC통신 쓰다 요금폭탄 맞았었음. 하나로통신 덕분에 인터넷품질도 올라가고 정액제 쓰고있는거지. 통신사업자들 경쟁 없이 KT 공기업 단일운영체...,펨코 유머이슈갤에 두창견 존나 많네,2023-11-27 19:08
79,"가까우면 무조건 kt 쓰셈. 좋은 점은, 여차할때 기사가 빨리 오고, 인터넷도 빠름.ㅋㅋㅋ",인터넷 KT로 바꾸려하는데 어디 현금 많이주는곳 아시는분?,2023-11-27 17:43
80,보통 큰건물에는 mdf실이라고 회선관리하는 곳이 있는데 이곳을 거쳐서 각 건물 인터넷이 연결됨. kt도 그렇고 LG도 같은 증상이면 건물 내부 회선 또는 MDF실 내에 기기 문제인듯함. 저거는 정말 전문업체에서 점검해야 답이 나옴. 인터넷기사는 절대 못잡음.,최군 최가네 인터넷문제 인터넷선이나 건물 문제는 아닌거 같은데,2023-11-26 17:36
81,공유기 직접사서 달면 인터넷달때 꽂혀있는 kt giga fiber2 여기 꽂혀있는 선떼고 공유기에 달면되는건가요?,집에 공유기만 있으면 인터넷되나요?,2023-11-25 13:01
82,애초에 송배전민영화는 문재인 때 RE100 대비한답시고 시행한거. RE100 협약에 따라서 앞으로 기업들은 재생에너지 비율을 높여야함. 근데 지금은 모든 전기를 한전을 통해야만 공급받을 수 있음. 한전이 재생에너지비율을 높이지 않는한 대기업들이 RE100 기준을 충족시킬 수 없는거. 그래서 재생에너지 공급을 민간에서 할 수 있도록 확대한거고. 기업들이 비싸더라도 민간...,필수 시설 민영화의 문제 중 하나는,2023-11-25 11:31
83,나도 얼마전에 kt 해지하고 알뜰폰 넘어감 진짜 완전 만족하면서 지냄 이유는 모르겠는데 kt 5g로 연결안되던 곳이 알뜰폰 lg망으로 겁나 잘됨... 인터넷티비 kt도 내년 초에 약정만료라 끝나면 바로 lg망으로 갈아타서 추가혜택 받을 생각임,통신3사 해지율 순위 뒤집힘,2023-11-24 20:36
84,유선인터넷 자체가 KT 아니면 간헐적으로 끊기고 불안함 ㅋㅋㅋㅋ 게다가 SKT는 해외망을 100% 임대해서 쓰지. 그나마 선녀라는 KT도 썩 좋다고 하긴 힘들고 대안이 없는 느낌이고,안 믿는 사람이 많다는 해저 케이블.jpg,2023-11-24 18:28
85,그니까 뭔상관이냐고 윤석열이 서버작업 책임자임? 행정부 구조적인 문제가 터진것도 아니고 매번 이런 억지 지겹지도 않냐 21년 KT 인터넷 장애는 그럼 문재인탓임? ㅋ,[속보,2023-11-24 15:49
86,Kt요새 병크 ㅈ댐 ㅋㅋ Kt는 인터넷 속도로 장난질 쳐서 싫고 엘지는 너무 상담원이 별로라 싫고 skt도 뭐 별론거 같던데 어카냐 ㅠ,님들 어제 패치하고 체감 좋으셨음?,2023-11-24 15:10
87,대부분 모르는데 PX인터넷은 인트라넷이 아니고 KT회선이라 진짜 인터넷임. 이유는 나도 잘 모르는데 아마 발주 넣는게 업체들이랑 연결되어야 해서 그런것같음. 그래서 뭐 감찰나와도 거들떠도 안봄 ㅋㅋ,군대 이후로 상식이란걸 따지지 않게됨.jpg,2023-11-24 11:35
88,"대칭(광), 비대칭(동축)만 확인하면 됨 아마 KT 비대칭회선 안남아 있다고 들었던거는 같은데 만약 우리집 들어오는 회선이 비대칭이라 하면 KT 할애비라도 거르면 크게 문제 생길일 없음 여튼 인터넷 어디 회사를 쓰던 고객센터 전화해서 주소 말하고 여기 비대칭형이냐 대칭형이냐 확인하면 되여 비대칭형이라 하면 ㅃㅃ",안 믿는 사람이 많다는 해저 케이블.jpg,2023-11-24 10:49
89,인터넷은 kt가 좋긴하더라,안 믿는 사람이 많다는 해저 케이블.jpg,2023-11-24 10:25
90,근데 수원 2개 경기장에 인터넷 ㄱㅊ함? 숭의에서 kt쓰면 인터넷 작살나던데 조오오나게 느려서,우리팀 최종전 vs 멸망전,2023-11-24 08:15
91,"kt 넷플릭스 요금제 프리미엄 사용 중 (4k 4인) 99,000원에 인터넷결합할인+선택약정 25%+신용카드할인 받아서 월 3.5만에 데이터 무제한 넷플릭스 4인 쓰는 중",다들 넷플릭스 할인 받아서 씀?,2023-11-23 23:17
92,근데 진짜 통신사 씹새기들은 돈잔치 존나해놓고 한전은 망하는게 웃기긴하네ㅋㅋ 특히 kt양아치새끼들 인터넷속도 느리게 해놓은거보고 치가떨리는데,공기업 최초로 임금체불 예정인 한전.jpg,2023-11-23 16:47
93,제 본가가 kt 인터넷이고 Mesh 무선 쓰고 있고 자취방이 lg u+ 유선 이거든요? 근데 본가에서만 말씀하신 그 상황 일어나더라구요 짜증,이 병신게임 내가 이겼는데 마지막에 경기끝나고 정솬과정에서 서버끊어지더니,2023-11-23 11:34
94,kt ㅅㅂ 인터넷 속도 제한 걸어논거같아서 ㅈ같음 맨날 초기화해달라고 전화해야함,네이버 스트리밍과 트위치를 두고 갑론을박이 이어지는 모습을 보니 새삼,2023-11-22 20:58
95,나만해도 t1 응원하는데 인터넷 휴대폰 전부 kt 쓰고 있음 ㅋㅋ,그래도 통신사 정도면 스폰효과 좋은편 아님?,2023-11-22 14:11
96,"요즘 롤스터 말고는 KT? 인터넷 속도 제한, 꼴찌 통신사인데 ㅋㅋㅋ",KT롤스터가 그 어떤 사업보다 KT 이미지 개선은 많이 해주는거같은데 ㅋㅋ,2023-11-22 13:51
97,kt 휴대폰 인터넷 집전화 아이피티비 10년 넘게 쓰고 있다구~,근데 냉정히 롤 프로팀은 운영하는 기업 입장에서 팀의 팬들은 돈 안되잖아,2023-11-22 13:07
98,진짜 시골 아니면 KT 쓸 이유 없지 ㅋㅋ 원래는 이런 틈바구니에 SKT나 LG 같은 무선사업자들이 자체테더링 기반으로 인터넷 놔주고 그런 서비스들이 외국엔 꽤 있는데(미국만 하더라도 티모바일 같은 데에서 서비스 해줌) 한국에도 있다면 시골에서도 KT 필요 없음 근데 KT만 저러냐 하면 사실 3사 모두 단지 땅덩이 좁고 내수 한정적이니까 소비자 등쳐먹는데 도가 튼...,(정보) KT가 최근 호감작 엄청나게 하는 중임,2023-11-22 06:44
99,덜 병신인데 저 사건으로 정 뗌 통신사 바꾼다고 하니까 고객님 왜 그러냐고 묻고 저런 사건 있다고 하니까 알았다고 하더니 30분 있다가 전화와서 미납 인터넷 요금있다고 내라고 한 새끼들임 ㅋㅋㅋㅋㅋㅋㅋ 여태까지 조용히 있다가 가족들 kt고 나만 이동한다고 했는데 거기서 정 더 떨어짐,내가 통신사 KT 쓰지만 KT 진짜 일처리 병신임,2023-11-22 04:54
100,인터넷은 kt다 라는 인식이 박혀있었는데 하도 시발 인터넷이 주기적으로 끊기고 지랄해서 SK로 바꿨는데 훨씬 나음 ㄹㅇ,(정보) KT가 최근 호감작 엄청나게 하는 중임,2023-11-22 04:41
101,kt는 기업문화만 따져도 파파괴문화임 인터넷 이슈당시 처리하는 기사들에게 떠넘기기 바빳음 진짜 kt는 꿀빠는 소위 윗대가리 제외하면 밑에 있는 사람들 피빠는 구조아님?해도 아가리해야됨 ㅋㅋ,(정보) KT가 최근 호감작 엄청나게 하는 중임,2023-11-22 04:40
102,KT가 인터넷 속도 젤 빠른줄 알았는데 아닌가봄?,(정보) KT가 최근 호감작 엄청나게 하는 중임,2023-11-22 04:37
103,인터넷 속도 KT가 젤 빠른거 아녔음?,(정보) KT가 최근 호감작 엄청나게 하는 중임,2023-11-22 04:36
104,kt쓰다가 skt로 인티폰 다 옮겼는데 인터넷 끊김문제 메인보드(z690 토마호크-인터넷 끊김문제 있는 메인보드)인 줄 알았는데 슼으로 옮기니까 안 끊기더라 ㅋㅋㅋㅋ,(정보) KT가 최근 호감작 엄청나게 하는 중임,2023-11-22 04:36
105,공감되는 글이네 ㅋㅋ 지금 전에 KT 쓰다 SK로 번이했는데 인터넷 품질 차이가 넘사임,(정보) KT가 최근 호감작 엄청나게 하는 중임,2023-11-22 04:26
106,구단 주주들이나 임원들이나 다 하는 생각이 비슷할거임. 뭐 기업 노출도를 높여야 하는 다른 기업들이랑은 분명히 다르다. 삼성도 엘지도 노출도를 높이려고 광고에 큰 돈을 투자하지만 경쟁이란게 아예 전무한 통신업계에다가 노출도 높인다고 더 많이 인터넷 뚫거나 핸드폰 개통하는게 아니고 국민 누구나 1/3 확률로 KT 핸드폰 뚫을건 다 아는 상식. 즉 매출에 전혀 도...,Kt 돈은 있어 그냥 안 쓰는거야,2023-11-22 03:52
107,다른거 다 슼쓰더라도 2만원정도 내고 인터넷만 kt쓰는게 맞긴함,인터넷 망 SKT는 죽어도 안 쓰는 이유,2023-11-22 03:50
108,비디디가 KT 인터넷 쓰다가 안터져서 문의 남긴거에 앙심 품었다는게 학계 점심,아니 시발 비디디는 30%더 부른 오퍼 거절하고 킅에 2년 박았는데,2023-11-22 03:46
109,kt쓰는 방송인들도 인터넷 이상하니까 2개씩 쓰더라 요즘 ㅋㅋ,쥐첩새끼 검색해서 기사 보자마자 존나 웃기네 씨벌 ㅋㅋㅋㅋ,2023-11-22 03:32
110,내 폰도 kt 거주하는 건물 인터넷도 kt 다 세상이라 무조건돈은있을줄.. 근데 인터넷요즘많이끊기긴하더라,솔직히 이번 스토브 제일 충격은 kt지?,2023-11-22 03:07
