commnet
"('외워라 통신사는sk 인터넷은kt', 0.2393052577972412, 'No')"
"('흔히 말하는 통신 3사 skt, kt, lg 이렇게 쓰는 경우엔 가족결합으로 인터넷, tv까지 묶어서 사용하는 경우가 많음. 그러면 보통 이런 경우엔 요금할인을 많이 받게 되서 굳이 알뜰로 갈아탈 이유가 없는경우 말하는 겁니다. 그래서 굳이 자급제를 구매할 이유가 없고, 그러면 보통 주변에 흔히 보이는 대리점에 가서 바꾸는 경우가 많은데 여기는 대부분 기기값을 구매자...', 0.31876206398010254, 'No')"
"('나만 그런게 아니었구나. 비슷한 시점에서 인터넷 1분정도 끊겼다가 접속되는 증상 가족할인이고 뭐고 대응에 빡쳐서 가족 인터넷 tv 폰이고 전부 U+로 바꿈 증상 사라짐. KT진짜 미친것 같음', 0.28314995765686035, 'No')"
"('에이~ 그래도 명색이 생방송하는 스튜디오인데 일반 가정용 인터넷회선 사용중일까? 제일 중요한건데 돈 제일 많이 썻겠지! 집에서 혼자 주식투자하고 프리랜서로 영상편집일 하는 나도 LGT PC방 전용회선 월50만원짜리 대칭형으로 쓰는데...아니겠지! KT 이자식들은 가입할때 말 안하면 비대칭으로 깔아버려서 업로드 속도가 개똥인거 이젠 다 알지않나? 얼마전 유튭 잇섭이 ...', 0.3158857822418213, 'No')"
"('이거 의외로 잘 모르던데 kt는 티비 인터넷만 써도 멤버십 사용 가능함. 이통사 다른 통신사여도 집에서 kt 쓰면 써먹으렴', 0.2809743881225586, 'No')"
"('집에 kt 인터넷 티비 장기간 쓴 사람들은 셋톱박스를 장기고객 혜택 통해서 무선 연결 지원해주는 UHD4 셋톱박스(모델명 M770)로 바꾸면 작성자처럼 무선 HDMI 송수신기 살 필요 없이 와이파이로도 티비 시청 가능', 0.2801663875579834, 'No')"
"('제 친우 제니니니님을 슬프게한 KT 인터넷 끊고 SKT로 갈아타버리겠달까..', 0.23978066444396973, 'No')"
"('인터넷은 KT 가전제품은 LG 핸드폰은 삼성 이거다', 0.23669147491455078, 'No')"
"('진짜 원래 인터넷은 무조건 KT였는데 속도 개그지같아서 LG로 갈아탄후에 진짜 속도스트레스 하나도 안받음', 0.27013492584228516, 'No')"
"('인터넷 품질하면 KT가 최고였었는데 그것도 이제 옛말이구나, 난 오히려 SK 인터넷/TV/집전화 쓰다가 품질이 들쭉날쭉해서 타사로 전부 옮겼었는데 다시 SK로 돌아가볼까.', 0.2768213748931885, 'No')"
"('나도 저번달 kt존나 끊겨서 skt로 바꿨는데 리얼 시발 존나 만족중 단점은 해외에 서버망 있는 인터넷 사이트나 야동사이트를 못들어감 ㅅㅂ https://m.fmkorea.com/6224300197', 0.27847933769226074, 'No')"
"('뭐 지역차겠지만 나도 KT SK 둘다 써봤는데 인터넷은 SK가 만족스러움 나도 온가족 할인 때문에 모바일이고 인터넷이고 탈출을 못하고 있음... 모바일은 3사 꼭 써야할 이유 없으면 MVNO 돌아다니는 게 가장 현명한 거 같음', 0.2858285903930664, 'No')"
"('근데 인터넷이나 통신사도 지역에 따라선 kt보다 lg가 나은 곳들이 있음', 0.23772954940795898, 'No')"
"('원래 인터넷은 KT 아니었나 SK 인터넷 ㅈ구림', 0.24308347702026367, 'No')"
"('요즘엔 다른가 6년전쯤 sk 썼었는데 핑이 계속 오락가락해서 기사 몇 번 불렀었는데 그당시에는 인터넷은 KT 말고 쓰는거 아니다 했었는데', 0.27278566360473633, 'No')"
"('그냥 skt꺼 쓰셈 lg랑 kt는 기가인터넷 하루150기가 제한이더라', 0.2426469326019287, 'No')"
"('현재 lg쓰고 이사하면서 인터넷 바꾸려는데 어디가 괜찮음? 핸드폰 결합때문에 lg아니면 kt로 하려는데 지금 lg는 티비고 인터넷이고 존나 끊김;;', 0.32421398162841797, 'No')"
"('스카이라프 인터넷 좋음.. 어차피 똑같은 KT망인데 요금 저렴함ㅋ', 0.2393798828125, 'No')"
"('핸드폰 : sk 인터넷 : kt 흙수저 : lg 정배임 어쩔수 없음', 0.23993206024169922, 'No')"
"('kt는 아닌데 100메가 3년정도 썼을때 계속 인터넷 먹통되어서 반년에 기사만 3번 불렀었는데 다 똑같이 옥상에 선문제였다고 하고 매번 똑같이 인터넷 500메가 업글 권유함 고의로 인터넷 먹통시키고 기사새끼들 알면서 수리하는 척 업글 권유하고 걍 다 한통속들이고 양아치들임', 0.303417444229126, 'No')"
"('컴알못이라 궁금한게 있는데 뭐 크롬에 유튜브 포함 탭 세개정도에 인터넷방송 켜놓고 게임(롤) 돌리다 보면 갑자기 컴 인터넷이 한 5~10초정도 끊겼다 돌아오던데 이건 그냥 컴퓨터 문제인거 맞나여? 램인지 cpu인지가 과부화 돼서? Kt문제는 아니죠?', 0.2965221405029297, 'No')"
"('옛날엔 kt는 인터넷 이랬는데 바뀜? 왜 요새 이러냐.. 몇년전만 해도 인터넷은 kt 아니었냐? 모바일은 skt 인터넷은 kt 아니었나..', 0.2700059413909912, 'No')"
"('Skt쓰면 유선인터넷이 별로고.. kt쓰면 무선이 별로고..', 0.24428772926330566, 'No')"
"('인터넷은 kt 핸드폰은 sk 흙수저는 lg', 0.24028706550598145, 'No')"
"('무적 LG 저 인터넷도 KT 아니고 LG 입니다 이미 한 몸입니다~! 탑승', 0.23810338973999023, 'No')"
"('sk는 가격빼면 다좋고 절충안이 lg, kt는 쓰레기임 그냥 ㅋㅋkt인터넷 좋다고 좋다고 하는데 헤비유저들 이탈 ㅈㄴ많음', 0.27393364906311035, 'No')"
"('kt 탈출은 지능순이다 당장 skt로 바꿔라 언제부턴가 인터넷 존나 끊기고 불안정함 품질 개쓰레기 그래도 lg는 절대 안감ㅋㅋ', 0.27112913131713867, 'No')"
"('온가족 lG쓰는ㄷㅔ 인터넷이랑 티비결합하고 핸드폰까지 할인받아서 좋고 Lg는 멤버십 해택이 그나마 좋음 KT는 구림', 0.27225518226623535, 'No')"
"('걍 에스케이를 가셈. lg통신사는 가격 원툴임 통화 품질 구리고 짱개 화웨이 쓰고 유출 걱정 있고 장기 이용 혜택은 3사중 제일 구리고 케이티도 엘지보다 비싼 가격에 인터넷 품질 구리고 에스케이는 비싸긴 해도 장기 이용자 혜택 가장 좋고 가족 결합하면 더 좋고 인터넷 통화품질 가장좋고 너가 미래룰 생각하면 스크가 나음 무선은(통신사) skt 유선은(인터넷) kt ipt...', 0.30634093284606934, 'No')"
"('평생 kt쓰다가 LG로 처음 바꾸고 대 만족중 본인 일하면서 가끔 꼭 들려아하는곳이 좀 구석진 방이 하나 있는데 거기 갈때마다 인터넷 안돼서 엘지로 바꾸니까 잘됨. 부산사람임', 0.27681970596313477, 'No')"
"('LG많이 개선되긴했더라 ㅋㅋㅋ 옛날 인터넷티비 초반엔 티비보다가 지혼자 꺼지고 지랄해서 KT 갔다가 1년전쯤 LG다시 넘어왔는데 좋아진게 느껴짐 ㅋㅋㅋ', 0.2751302719116211, 'No')"
"('나도 lg 인터넷 장기 유저인데 가끔씩 끊기고 구려서 lg에서 kt로 이동하려했는데 상담사가 제발 가지 말라고 매달 요금 이전 사용료의 6000원 할인 딜해서 안 갔음.ㅋㅋㅋ 인터넷만 만원대에서 사용 중. 기계랑 다 새 걸로 바꿔주고 상품권도 10만원 넘게 주는 걸로 딜. Kt는 할인 거의 없어서 그냥 lg 쭉 이용하는데 이전 기기보다 성능 더 좋은 거 같다ㅋㅋㅋ', 0.3039054870605469, 'No')"
"('KT는 인터넷 SK는 모바일 국룰', 0.23764967918395996, 'No')"
"('lte는 차이남. 나도 핸드폰통신은 skt&gt;lg&gt;kt라 생각. 인터넷은 그 kt대란났을때 빼고는 끊긴적 없어서 만족', 0.2778942584991455, 'No')"
"('엘지가 품질 안좋은지 모르겠음..엘지 오래쓰다가(와이프가 엘지라)퇴사하고 그냥 sk로 갈아탔는데 인터넷 품질 더 안좋음--;; 비싼거 쓰는데.. / 그리고 업무상 통신중개기 없는 신축아파트 자주 가는데 엘지만 살아남음 ㅋ sk, kt 먹통.. 그나마 엘지가 선방함. sk약정 끝나면 다시 엘지로 돌아갈 예정...ㅜ', 0.30112385749816895, 'No')"
"('엥? 어디시길래... 부산은 인터넷 끊기는 일은 없던뎅 유선인터넷은 KT지만 무선은 SKT가 짱임', 0.24197721481323242, 'No')"
